cluster,msg_size,time
nancy,100000,5242.757
nancy,100000,5242.7705
nancy,100000,5242.7817
nancy,100000,5242.791
nancy,100000,5242.8013
nancy,100000,5242.8115
nancy,100000,5242.8213
nancy,100000,5242.832
nancy,100000,5265.639
nancy,100000,5265.6924
nancy,100000,5265.7065
nancy,100000,5265.7163
nancy,100000,5265.731
nancy,100000,5265.7407
nancy,100000,5265.7964
nancy,100000,5265.8066
nancy,100000,5265.822
nancy,100000,5288.7793
nancy,100000,5288.823
nancy,100000,5288.835
nancy,100000,5288.8384
nancy,100000,5288.842
nancy,100000,5288.846
nancy,100000,5288.849
nancy,100000,5288.8525
