"index","ADDITIONAL_DATA_SIZE","run_index","time_rel","cpu_id","utilization_percentage"
168467,10000000,6,72.092,122,0.0
168468,10000000,6,72.092,123,0.0
168469,10000000,6,72.092,124,0.0
168470,10000000,6,72.092,125,0.0
168471,10000000,6,72.092,126,0.0
168472,10000000,6,72.092,127,0.0
168473,10000000,6,72.092,-1,2.285
168474,10000000,6,73.094,0,26.667
168475,10000000,6,73.094,1,4.082
168476,10000000,6,73.094,2,0.0
168477,10000000,6,73.094,3,0.0
168478,10000000,6,73.094,4,100.0
168479,10000000,6,73.094,5,100.0
168480,10000000,6,73.094,6,0.0
168481,10000000,6,73.094,7,77.193
168482,10000000,6,73.094,8,0.0
168483,10000000,6,73.094,9,0.0
168484,10000000,6,73.094,10,0.0
168485,10000000,6,73.094,11,0.0
168486,10000000,6,73.094,12,0.0
168487,10000000,6,73.094,13,0.0
168488,10000000,6,73.094,14,0.0
168489,10000000,6,73.094,15,0.0
168490,10000000,6,73.094,16,0.0
168491,10000000,6,73.094,17,0.0
168492,10000000,6,73.094,18,0.0
168493,10000000,6,73.094,19,0.0
168494,10000000,6,73.094,20,0.0
168495,10000000,6,73.094,21,0.0
168496,10000000,6,73.094,22,0.0
168497,10000000,6,73.094,23,0.0
168498,10000000,6,73.094,24,0.0
168499,10000000,6,73.094,25,0.0
168500,10000000,6,73.094,26,0.0
168501,10000000,6,73.094,27,0.0
168502,10000000,6,73.094,28,0.0
168503,10000000,6,73.094,29,0.0
168504,10000000,6,73.094,30,0.0
168505,10000000,6,73.094,31,0.0
168506,10000000,6,73.094,32,0.0
168507,10000000,6,73.094,33,0.0
168508,10000000,6,73.094,34,0.0
168509,10000000,6,73.094,35,0.0
168510,10000000,6,73.094,36,0.0
168511,10000000,6,73.094,37,0.0
168512,10000000,6,73.094,38,0.0
168513,10000000,6,73.094,39,0.0
168514,10000000,6,73.094,40,0.0
168515,10000000,6,73.094,41,0.0
168516,10000000,6,73.094,42,0.0
168517,10000000,6,73.094,43,0.0
168518,10000000,6,73.094,44,0.0
168519,10000000,6,73.094,45,0.0
168520,10000000,6,73.094,46,0.0
168521,10000000,6,73.094,47,0.0
168522,10000000,6,73.094,48,0.0
168523,10000000,6,73.094,49,0.0
168524,10000000,6,73.094,50,0.0
168525,10000000,6,73.094,51,0.0
168526,10000000,6,73.094,52,0.0
168527,10000000,6,73.094,53,0.0
168528,10000000,6,73.094,54,0.0
168529,10000000,6,73.094,55,0.0
168530,10000000,6,73.094,56,0.0
168531,10000000,6,73.094,57,0.0
168532,10000000,6,73.094,58,0.0
168533,10000000,6,73.094,59,0.0
168534,10000000,6,73.094,60,0.0
168535,10000000,6,73.094,61,0.0
168536,10000000,6,73.094,62,0.0
168537,10000000,6,73.094,63,0.0
168538,10000000,6,73.094,64,0.0
168539,10000000,6,73.094,65,0.0
168540,10000000,6,73.094,66,0.0
168541,10000000,6,73.094,67,0.0
168542,10000000,6,73.094,68,0.0
168543,10000000,6,73.094,69,0.0
168544,10000000,6,73.094,70,0.0
168545,10000000,6,73.094,71,0.0
168546,10000000,6,73.094,72,0.0
168547,10000000,6,73.094,73,0.0
168548,10000000,6,73.094,74,0.0
168549,10000000,6,73.094,75,0.0
168550,10000000,6,73.094,76,0.0
168551,10000000,6,73.094,77,0.0
168552,10000000,6,73.094,78,0.0
168553,10000000,6,73.094,79,0.0
168554,10000000,6,73.094,80,0.0
168555,10000000,6,73.094,81,0.0
168556,10000000,6,73.094,82,0.0
168557,10000000,6,73.094,83,0.0
168558,10000000,6,73.094,84,0.0
168559,10000000,6,73.094,85,0.0
168560,10000000,6,73.094,86,0.0
168561,10000000,6,73.094,87,0.0
168562,10000000,6,73.094,88,0.0
168563,10000000,6,73.094,89,0.0
168564,10000000,6,73.094,90,0.0
168565,10000000,6,73.094,91,0.0
168566,10000000,6,73.094,92,0.0
168567,10000000,6,73.094,93,0.0
168568,10000000,6,73.094,94,0.0
168569,10000000,6,73.094,95,0.0
168570,10000000,6,73.094,96,0.0
168571,10000000,6,73.094,97,0.0
168572,10000000,6,73.094,98,0.0
168573,10000000,6,73.094,99,0.0
168574,10000000,6,73.094,100,0.0
168575,10000000,6,73.094,101,0.0
168576,10000000,6,73.094,102,0.0
168577,10000000,6,73.094,103,0.0
168578,10000000,6,73.094,104,0.0
168579,10000000,6,73.094,105,0.0
168580,10000000,6,73.094,106,0.0
168581,10000000,6,73.094,107,0.0
168582,10000000,6,73.094,108,0.0
168583,10000000,6,73.094,109,0.0
168584,10000000,6,73.094,110,0.0
168585,10000000,6,73.094,111,0.0
168586,10000000,6,73.094,112,0.0
168587,10000000,6,73.094,113,0.0
168588,10000000,6,73.094,114,0.0
168589,10000000,6,73.094,115,0.0
168590,10000000,6,73.094,116,0.0
168591,10000000,6,73.094,117,0.0
168592,10000000,6,73.094,118,0.0
168593,10000000,6,73.094,119,0.0
168594,10000000,6,73.094,120,0.0
168595,10000000,6,73.094,121,0.0
168596,10000000,6,73.094,122,0.0
168597,10000000,6,73.094,123,0.0
168598,10000000,6,73.094,124,0.0
